,0
0,36.74741999999983
1,28.184259999999906
2,24.968590000000017
3,25.642410000000144
4,39.17119000000029
5,74.28320999999937
6,76.18044999999978
7,75.60010999999999
8,71.80409000000006
9,54.01857000000034
10,51.458750000000535
11,48.427840000000366
